Категория,Тип,Название,Порядковый номер,Описание
1. 🛒 Доступ до покупок,Главная статья,Ваша бібліотека BlackSea,0,"Основная статья категории ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як отримати доступ до моєї покупки?,1,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як відкривати ZIP та RAR файли,2,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як надіслати покупки на Kindle,3,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як надіслати покупку в Dropbox та Google Drive,4,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Коли буде відправлено мій цифровий товар?,5,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Керівництво з підписок і членства,6,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Як оцінити та залишити відгук про покупку,7,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
1. 🛒 Доступ до покупок,Подкатегория,Завантаження контенту в offline режимі,8,"Статья подкатегории в разделе ""1. 🛒 Доступ до покупок"""
2. 🔍 Перед покупкою,Главная статья,Безпечні покупки на BlackSea,0,"Основная статья категории ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Керівництво для покупців на BlackSea,1,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Чому мій платіж не пройшов?,2,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Як подарувати цифровий продукт?,3,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Списки бажань та колекції,4,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,"Що робити, якщо продукт не відповідає очікуванням?",5,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
2. 🔍 Перед покупкою,Подкатегория,Перевірка автентичності продавців,6,"Статья подкатегории в разделе ""2. 🔍 Перед покупкою"""
3. 🔐 Реєстрація та налаштування акаунту,Главная статья,Чому обрати BlackSea? Переваги української платформи,0,"Основная статья категории ""3. 🔐 Реєстрація та налаштування акаунту"""
3. 🔐 Реєстрація та налаштування акаунту,Подкатегория,Налаштування облікового запису,1,"Статья подкатегории в разделе ""3. 🔐 Реєстрація та налаштування акаунту"""
